条件,サンプルのインデックス,ID,プレイヤー,文字数,対原文類似度,テキスト内容
そのまま,2,2,3人目,109,0.1588571236080639,2023年11月の大雨の影響で日本各地で氾濫や土砂災害が発生し、多くの地域で避難生活を強いられた住民も出ています。交通の中断による日常生活への影響は大きく、被害の状況や復旧進度についてまだ把握する余裕がなくて大変です。
そのまま,2,2,4人目,106,0.15383524504530144,2023年11月の大雨の影響で日本各地の氾濫や土砂災害が発生し、多くの地域で避難生活を強いられている住民もいます。交通の中断による日常生活への影響は大きく被害の状況や復旧進度についてまだ把握する余裕がありません。
そのまま,2,2,5人目,109,0.10247065855952607,2023年11月の大雨が日本各地にわたって氾濫や土砂災害を引き起こし、多くの地域で避難生活を強いられている住民もいます。交通の麻痺による日常生活への影響は大きく被害の状況や復旧状況についてまだ把握する余裕がありません。
そのまま,2,2,6人目,105,0.0690442337802856,2023年の大雨が日本各地に広がり、氾濫や土砂災害を引き起こし、避難生活を強いられている住民も増えているようだ。交通の障壁による日常生活への影響は大きく被害の状況や復旧の進捗についてまだ十分な把握がないようだ。
そのまま,2,2,7人目,109,0.07216017874013529,2023年の大雨が日本各地に広がり、氾濫や土砂災害を引き起こし、避難生活を強いられている住民も増えているように思われる。交通の障壁による日常生活への影響は大きく被害の状況や復旧の進捗についてまだ十分な把握がないようだ。
そのまま,2,2,8人目,91,0.06447264757877362,2023年の大雨が日本各地に広がり、避難を強いられている住民も増えているように思われる。交通の障壁による日常生活への影響は大きく、今現在復旧の進捗についてまだ十分な把握がないようだ。
そのまま,2,2,9人目,93,0.030810207874553165,今年の大雨が国中で広がっていて、避難している人も急増していると見られる。交通が混乱し日々の生活に大きな障害となっているように思われるが、現在復旧状況をよく知る情報は得られていないようだ。
そのまま,2,2,10人目,107,0.03769087567141353,今年の大雨が国中で広がっていて、避難している人も急増していると見られる。また、交通が混乱し日々の生活に大きな障害となっているように思われるが、今現在は復旧状況についてよくわからないような情報が得られていないようだ。
そのまま,5,5,原文,95,1.0,2023年9月、東京都内で記録的な集中豪雨が発生し、河川の氾濫や土砂災害を引き起こしました。多くの住民が避難を余儀なくされ、交通網は大混乱に陥りました。重力災害として警戒が必要な状況でした。
そのまま,5,5,1人目,71,0.3932573350036845,2023年9月、東京都内では集中豪雨の影響により氾濫や土砂災害が発生し、住民が避難を強いられ、交通は混乱に陥ったという報告が届いておりました。
そのまま,5,5,2人目,35,0.05974721461280737,東京都で集中豪雨の被害が出て、多くの人が避難していると言われています。
そのまま,5,5,3人目,50,0.060909635550124436,東京都で大雨による災害が相次いで起こっていて、多くの住民が家に戻ることができない状況となっています。
そのまま,5,5,4人目,91,0.03340087672269216,都内では大雨の影響で多くの区で避難勧告が出ています。その中で特別な対策として、東京都は全員に水道水を使うことや、自宅にあふれが入らないように窓を閉じるなどをすることを指示しています。
そのまま,5,5,5人目,82,0.02819720167536158,都内では大雨の影響で多くの区で避難勧告が出ています。その中で特別な対策として東京都は全員に水道水を使うことや、自宅の窓を閉じてあふれが入らないように指示しています。
そのまま,5,5,6人目,87,0.03301705710524605,都内では大雨による影響から多くの区で避難勧告が出ています。その中で特別な対策として東京都は全員に水道水を使うよう指示し、自宅の窓を閉じてあふれが入らないように強調しています。
そのまま,5,5,7人目,112,0.032982425309611416,都内では大雨による影響から多くの区で避難勧告が出ています。その中で特別な対策として東京都は全員に水道水を使うよう指示し、自宅の窓を閉じてあふれが入らないように強調しています。東京都は今後も状況を見ながら対応を決めていきます。
そのまま,5,5,8人目,118,0.028730302652033645,都内では大雨による影響から多くの区で避難勧告が出ています。その中で特別な対策として東京都は、自宅の窓を閉じてあふれが入らないように強調しているほか、全員に水道水を使うよう指示しています。東京都は今後も状況を見ながら対応を決めていきます。
そのまま,5,5,9人目,110,0.023869002208196887,都内で大雨による影響から多くの区で避難勧告が出ています。その中で特別な対策として、自宅の窓を閉じて水が入らないように強調しているほか全員に水道水を使うよう指示しています。東京都は今後も状況を見ながら対応を決めていきます。
そのまま,5,5,10人目,87,0.012208276917747504,都内大雨による影響で多くの区で避難勧告が出ている。その中で自宅窓の閉じ方や水道水使いについて特別な対策を指示している。そのため東京都は状況を見ながら対応を決めていく予定です。
そのまま,6,6,原文,102,1.0,ある患者が、高血圧と糖尿病を合併しており、症状の悪化を防ぐため、医師が複数の薬剤を処方した。その後、定期的な検査の結果、血糖値と血圧が改善し、生活習慣の見直しも実施されたことで、健康状態が良好に回復した。
そのまま,6,6,1人目,99,0.4400204790159479,ある患者が、高血圧や糖尿病を持っていたので、複数の薬を服用するように指示された。その後、定期的な検査の結果、血糖値と高血圧は改善され、生活習慣を見直すことが成功したことで、健康状態も良好に回復した。
そのまま,6,6,2人目,105,0.3131690881755666,ある患者が、高血圧や糖尿病を患っていたので、多数の薬を毎日服用するように指示された。その後、定期的な検査結果により、血糖値と高血圧は改善されていて、生活習慣を見直したことで健康状態も回復して良好なようになった。
そのまま,6,6,3人目,51,0.12341374648347614,患者が多数の薬を毎日服用するよう指示された後、高血圧や糖尿病の症状が改善され、検査結果も良好にあった。
そのまま,6,6,4人目,51,0.05714506206158055,多くの患者は、毎日医師から何度も指示を受け、そのような処方箋を続けて高血圧や糖尿病の症状は改善された。
そのまま,6,6,5人目,104,0.029114536155794804,多くの患者が毎日医師から何度も処方箋を受けたことにも注目が集まっていますが、処方箋を受けるということはあくまで自らの治療を進めるための手段でしかありません。多くの症状は処方箋に従わなければ改善されないのです。
そのまま,6,6,6人目,107,0.03102732928169423,多くの患者が毎日医師から何度も薬の処方箋を受けたことにも注目が集まっていますが、処方箋を受けるということはあくまで自らの健康を維持するための手段でしかありません。多くの症状は処方箋に従わなければ改善されないのです。
そのまま,6,6,7人目,125,0.01683603074811494,医師から薬の処方箋を受けるとき、自分の健康にとってどういう意味なのか考えてみることが重要だと考えられています。この処方箋を取り決めるということは自分自身の病気や不調に直面するための手段です。多くの症状は医師の指示通りの薬を使わない限り改善されません。
そのまま,6,6,8人目,110,0.025417943728379806,医師がもたらす処方箋は、自分自身の健康への影響を考えてみることが大切だと考えられています。この診療を受けるということは自分の病気や不調に直面するための手段です。多くの症状は医師の指示通りの薬を使わない限り改善されません。
そのまま,6,6,9人目,92,0.019861893973803148,医者からもたらされる処方箋を考えることも大切だと思っている。診療を受けるというのは自分自身の病気や不調に対応するための手段で、多くの症状は処方された薬を使わない限り改善されないからだ。
そのまま,6,6,10人目,96,0.04348633682067311,医師が発した処方箋についても深く考えるべきだろう。それを理由として、診療を受けることは自分自身の病気や不調に対処するための手段であり、多くの症状は処方された薬を使わない限り改善されないからだ。
そのまま,7,7,原文,112,1.0,高齢女性が、急な胸痛を訴え救急外来を受診した。心電図検査の結果、急性心筋梗塞と診断され、速やかに経皮的冠動脈インターベンション（PCI）を受けれた。適切な処置により、梗塞部位の血流を再開させ、症状は改善し、入院治療となった。
そのまま,7,7,1人目,115,0.6145099758866994,高齢女性が急に胸痛を訴え救急外来で受診され、心電図検査の結果急性心筋梗塞と診断されたため、速やかに経皮的冠動脈インターベンションを受けられることができた。適切な処置によって梗塞部位の血流を再開し、症状は改善され、入院治療となった。
そのまま,7,7,2人目,83,0.4469714720560611,急性心筋梗塞が心電図検査で確定したため、経皮的冠動脈インターベンションを受けることができた。適切な処置によって梗塞部位の血流を再開し症状は改善され、入院治療となった。
そのまま,7,7,3人目,70,0.2514601957962401,心筋梗塞が明らかになり、そのための治療として経皮的冠動脈インターベンションを受けた結果、梗塞部分に必要な血流の回復により、症状も改善された。
そのまま,7,7,4人目,91,0.020998490599500173,新たに血管を通る小さな金属製の管を血管に設置して、その先の狭窄部にワイヤーの電極を取り付け、高周波でワイヤーの内側を加熱させて血管を広げ、血流の改善につながったことが明らかになった。
そのまま,7,7,5人目,73,0.0245876768200401,金属製の管を血管に設置し、その先の狭窄部にワイヤー電極をつけて、高周波でワイヤーの内側を加熱すると、血管が広がり、血流が改善されたことがわかった。
そのまま,7,7,6人目,57,0.030768852166915658,高周波を用いて金属製の管を設置し、その先の狭窄部に導体電極をつけて、血管が広がり、血流が改善されたことがわかった。
そのまま,7,7,7人目,85,0.030167621945501155,高周波による処理で、血管を広げる効果があることを調べた結果、高周波を使って金属製の管を作った。それを狭い所に導体電極をつけたところ、血液の流れが良くなったことがわかった。
そのまま,7,7,8人目,84,0.030727247936665855,高周波による処理で血管を広げる効果があることを調べた結果、高周波を使って金属製の管を作った。それを狭い所に導体電極をつけたところ、血液の流れが良くなったことがわかった。
そのまま,7,7,9人目,86,0.04041468620405368,高周波による処理で血管を広げる効果があることを調べた結果、高周波を使って金属製の管を作りました。それを狭い所に導体電極をつけると、血液の流れが良くなったことがわかりました。
そのまま,7,7,10人目,86,0.04041468620405368,高周波による処理で血管を広げる効果があることを調べた結果、高周波を使って金属製の管を作りました。それを狭い所に導体電極をつけると、血液の流れが良くなったことがわかりました。
そのまま,8,8,原文,92,1.0,2023年5月12日、新宿駅構内にて、鑑賞中だった女性が突然倒れた。周囲の男性が駆けつけ、救急隊員が到着し、心停止の状態だった彼女は、AEDと酸素吸入により蘇生され、病院へ搬送された。
そのまま,8,8,1人目,140,0.3654980870337203,新宿駅構内で2023年5月12日午前、女性が突然倒れたときに多くの人たちが慌てた様子であった。周囲の男性が彼女を助けようとしたのと同時に救急隊員もすぐに出動し、彼女は心臓発作によって心停止状態になったが、AEDや酸素吸入器を用いて蘇生された。その後、女性は病院へ搬送されたという。
そのまま,8,8,2人目,164,0.09842318272926905,新宿駅で2023年5月12日午前、新しく出会った女性の姿がないときに多くの人たちが心配そうな様子であったと言われている。男性たちが気を遣ったのは、同時期に救急隊員が彼女を助けるためにすぐに出動したからだという。女性は心臓発作で命の危険があったが、機器を使うことで危ない状態からの復活を果たした。その後、女性は病院へ運ばれたという
そのまま,8,8,3人目,167,0.10963958982445415,新宿駅で2023年5月12日午前、新しく出会った女性が見えないときに多くの男性たちが心配そうな様子であったと言われている。男性たちは彼女の心配を抑えるためにすぐに出動した救急隊員が助けに現れたからだという。女性は心臓発作で命に関わる危険があったが、医療機器を使うことで危険な状態からの回復を果たした。その後、女性は病院へ運ばれたという
そのまま,8,8,4人目,174,0.06710610467293374,新宿駅の新しい出来事があると言われている。午前5月12日、新しく出会った女性に心配そうな様子でいっぱいになった多くの男性たちがいたと伝えられている。男性たちは心配しあう彼女を救急隊員から助けてもらうためにすぐに出動したという。新しい出来事の女性は危険な状態になっていたが、医療機器を使って回復することができた。その後、病院へ運ばれたと言われている。
そのまま,8,8,5人目,113,0.06231562201437768,午前5月12日、新宿駅で多くの男性たちが心配しあう女性を助けてもらったという話がある。男性たちはすぐに出動し、その危険な状況から回復するのに医療機器を使って助けたと言われている。その後は、彼女を病院へ運ばれたと伝えられている。
そのまま,8,8,6人目,125,0.03389712830464674,午前５月１２日、新宿駅で多くの男性たちが心配しあう女性のために助けてもらったという話があるらしい。男性たちは急いで出動し、その危険な状況から回復するのに医療機器を使って彼女を助けたと言われている。その後は、彼女が病院へ運ばれたと伝えられているらしい。
そのまま,8,8,7人目,125,0.03389712830464674,午前５月１２日、新宿駅で多くの男性たちが心配しあう女性のために助けてもらったという話があるらしい。男性たちは急いで出動し、その危険な状況から回復するのに医療機器を使って彼女を助けたと言われている。その後は、彼女が病院へ運ばれたと伝えられているらしい。
そのまま,8,8,8人目,104,0.02533202379362858,午前５月１２日、新宿駅で多くの男性たちが心配しあう女性のために急いで手助けしたという話があるそうだ。それからその危険な状況から回復するのに、機器を使って彼女を助けたと言われている。すると病院へ運ばれたそうだ。
そのまま,8,8,9人目,106,0.028153900796901637,午前５月１２日、新宿駅で多くの男性たちが心配しあう女性のために急いで手伝ったという話があるそうだ。それからその危険な状況から回復するのに、器具を使って彼女を助けたと言われている。そして病院へお預けになったそうな。
そのまま,8,8,10人目,106,0.028153900796901637,午前５月１２日、新宿駅で多くの男性たちが心配しあう女性のために急いで手伝ったという話があるそうだ。それからその危険な状況から回復するのに、器具を使って彼女を助けたと言われている。そして病院へお預けになったそうな。
そのまま,9,9,原文,96,1.0,ある日、高齢女性が急な胸痛に襲われ、自宅で救急隊員に発見されました。心電図検査の結果、不整脈と判断され、速報で速やかに病院へ搬送されました。状態は安定しており、詳細な診察へとつなげられました。
そのまま,9,9,1人目,99,0.6134666815692551,ある日、高齢女性が突然胸痛に襲われ、自宅で救急隊員に発見されました。心電図検査の結果不整脈と判断されたため速報により、すぐ病院へ運ばれました。状況は安定しており、その後さらに詳しく診察を受けました。
そのまま,9,9,2人目,71,0.22654242886636056,高齢女性が自宅で胸痛に襲われ、発見され心電図検査の結果不整脈と判断されたため速報によりすぐ病院へ運ばれ状況は安定した後さらに詳しい診察を受けた
そのまま,9,9,3人目,86,0.21755903764675114,高齢女性が急激な胸痛に襲われ発見されたためにまずは心電図検査を行った結果、不整脈と判断されると速報で緊急搬送された後にその後の経過は安定していたが、その後さらに診察を受けた
そのまま,9,9,4人目,88,0.2124026718100709,高齢女性が急激な胸痛に襲われ発見されたためにまずは心電図検査を行った結果、不整脈と判断されると速報で緊急搬送された後にその後の経過は安定していたが、その後さらに診察を受けた結果
そのまま,9,9,5人目,83,0.06590376038851264,高齢女性が心臓の異常を理由に緊急搬送された後にしばらくは安定していたが、ある日胸痛が再発し診察を受けるとその時点で脳内動脈瘤破裂による出血が原因であったことが判明した
そのまま,9,9,6人目,81,0.06749484037010249,高齢女性が心臓の異常を理由に緊急搬送された後にしばらくは安定していたが、ある日胸痛が再発し診察を受けると、その時点で脳内動脈瘤破裂による出血であったことが判明した
そのまま,9,9,7人目,49,0.013886242781528484,高齢女性の心臓の異常の後、再び胸痛が出た際に、それは脳内の血管が破れたことによる出血だったと判った
そのまま,9,9,8人目,66,0.027553861394800084,高齢の女性が前回診断で見られた心臓問題によって再び起こした胸痛は、この度の頭部検査により脳内の血管が破れ、出血があったことがわかった
そのまま,9,9,9人目,66,0.02567276462568531,この度の頭部検査結果では、以前見られた心臓問題による胸痛の原因と考えられていた脳内の病状がさらに深刻な状態になっていることを確認した
そのまま,9,9,10人目,70,0.016508026504857973,この度の医師からのお知らせでは、心臓の不具合によって出現していた症状について、今回の検査結果により、頭部の異常が悪化していることが発覚された
そのまま,10,10,原文,107,1.0,患者A氏は、高血圧と糖尿病を合併しており、自宅で服薬していた薬の効果が不十分であった。定期的な受診の結果、医師は生活習慣の改善と降圧剤の追加処方を行った。その後、血圧と血糖値が安定し、心血管疾患のリスクが低下した。
そのまま,10,10,1人目,121,0.5076685519733222,患者A氏は、高血圧と糖尿病を併発しており、自宅で服用していた薬の効果が不十分でありました。医師の診察の結果、生活習慣の改善を行い、降圧剤を追加して処方されました。その後、血圧と血糖値は安定し、心血管疾患のリスクが低下したことが確認されました。
そのまま,10,10,2人目,141,0.16784848362179666,患者A氏は、高血圧や糖尿病という二つの重篤な症状を持っており、それに合うように医師から処方された薬の効果は不十分でした。それにより、自宅での生活習慣を大幅に改善することも合わせて行われました。降圧剤が追加されて新たな薬品を受け取り、その後、高血圧や糖尿病の症状が安定し続いています。
そのまま,10,10,3人目,113,0.11588032782161685,患者A氏は、重篤な症状の高血圧や糖尿病に合うように処方された薬の効果は不十分でした。それにより生活習慣を大幅に改善することも合わせて行われました。降圧剤が追加されて新たな薬品を受け取り、その後、病気の症状は安定し続けています。
そのまま,10,10,4人目,97,0.10054328311544934,患者A氏は高血圧や糖尿病の治療として処方された薬の効果を十分に得られず生活習慣を大幅に向上させることも行った。そのため降圧剤が追加され、新たな薬品を受け取ってからは、病気の症状は安定しています。
そのまま,10,10,5人目,107,0.0763666415055236,患者のA氏は、糖尿病や高血圧に対して用いられた新たな薬は、効果を十分に得ることができず生活習慣を大幅に向上させることも行った。そのため降圧剤が追加され、より新しい治療薬の使用により、今は病気の症状は安定しています。
そのまま,10,10,6人目,86,0.06824213686985958,糖尿病や高血圧に対する処方薬が効果的ではなく生活習慣を大幅に向上させることも行った。そのため降圧剤が追加され、現在新しい治療薬の使用により、今は病気の症状は安定しています。
そのまま,10,10,7人目,87,0.07955489766559272,糖尿病や高血圧に対する処方薬で効果がなく生活習慣を大幅に向上させることも行った結果として降圧剤が追加された。そのため今は新しい治療薬の使用により、病気の症状は安定しています。
そのまま,10,10,8人目,84,0.09181551337044509,糖尿病や高血圧に対する処方薬の効果がなく生活習慣を大幅に向上させることも行った結果として降圧剤も追加された。そのため今は新しい治療薬により、病気の症状は安定しています。
そのまま,10,10,9人目,84,0.09181551337044509,糖尿病や高血圧に対する処方薬の効果がなく生活習慣を大幅に向上させることも行った結果として降圧剤も追加された。そのため今は新しい治療薬により、病気の症状は安定しています。
そのまま,10,10,10人目,87,0.09341177213759135,糖尿病や高血圧に対する処方薬の効果がなく生活習慣を大幅に向上させることも行った結果として降圧剤も追加された。そのため今は、新しく調達した薬により、病気の症状は安定しています。
そのまま,11,11,原文,108,1.0,2023年7月1日、広島県呉市で発生したM5.6地震が、船舶を航行させていた船員らに揺れを感じさせました。被害状況は直情の軽微でしたが、周辺地域では一部の建物に損傷が発生し、海上保安庁による迅速な対応が行われました。
そのまま,11,11,1人目,74,0.1675541267948899,呉市でM5.6地震があり、船を運営していた人々は揺れを感じて、被害は軽微だったはずですが、周辺地域では建物に損傷があったため海保の速度感高く対応した
そのまま,11,11,2人目,83,0.19041323859912995,呉市でメガスケール5.6の地震があり、船を運営する人々が揺れを感じて被害は軽微と想定されましたが、周辺地域では建物に損傷があったため海上保安庁も速度感高く対応しました
そのまま,11,11,3人目,64,0.059494658609325846,呉市で大地震があり、関係者は揺れを感じて被害は少なかったと予想された。しかし周囲の所では建物などが損傷したことが分かっています。
そのまま,11,11,4人目,74,0.07078744790346554,呉市での大地震で関係者は揺れによる被害は少ないはずだと考えていたが、しかし周辺地域では建物などを含む多くの建物の損傷が確認されたと伝えられています。
そのまま,11,11,5人目,87,0.1256048269091311,呉市で発生した地震に関して、関係者の意見としては揺れによる被害の少なさという予想がありましたが、その結果、周辺地域では建物などを含む多くの建物の損傷が確認されたとのことです。
そのまま,11,11,6人目,86,0.12726813548759322,呉市で発生した地震に関して関係者の意見としては揺れによる被害の少なさという予想がありましたが、その結果、周辺地域では建物などを含む多くの建物の損傷が確認されたとのことです。
そのまま,11,11,7人目,79,0.13116738496064342,呉市で発生した地震に関して関係者の意見としては揺れによる被害の少なさという予想がありましたが、その結果、周辺地域では多くの建物の損傷が確認されたとのことです。
そのまま,11,11,8人目,85,0.06249414517235229,呉市での地震の影響については、前日の情報から少し違ったことがわかりましたが、呉市を中心に生じた大きな被害でした。それでも呉市周辺では多くの建物が損傷を受けたとのことです。
そのまま,11,11,9人目,62,0.09074500352999289,呉市周辺での地震の影響は前日の情報とは少し異なりましたが、大きな損傷でした。そのため呉市周辺では大きな被害が出たようでした。
そのまま,11,11,10人目,60,0.02089511801727685,呉市周辺での地震の影響も前日と違ったようです。それでもそれほど損傷は大きかったと思います。大きな被害も出たと思われます。
そのまま,12,12,原文,112,1.0,2023年8月16日に、福島県沖でM5.8の地震が発生しました。震源部は陸地近く、津波警報が出されました。各地で揺れを感じ、一部地域では停電や物資の輸送に影響が出ました。緊急車両の通行が制限され、住民は避難指示に従いました。
そのまま,12,12,1人目,107,0.31936550436252925,福島県沖に、地震が起こりました。震源の近くで起こったため、津波警報が出てしまいました。揺れが激しくて、一部では停電や物資を運ぶことができなくなってしまいました。避難する必要がある場所の人たちは、避難したといいます。
そのまま,12,12,2人目,91,0.057678395665624285,福島県沖の地震のために津波警報が出たため、津波による大きな被害が心配されます。停電と物資の届きにくさで困っている地域もあります。避難する必要がある人たちは安全な場所に避難しています。
そのまま,12,12,3人目,95,0.047250526156077846,福島県沖の地震の影響により津波警報が出たことで大きな被害が心配されています。そのため停電や物資の届きにくさで困っている地域もありますが、避難する必要がある人たちは安全な場所に避難しています。
そのまま,12,12,4人目,93,0.02700123397230505,福島県沖の地震の影響により出た津波警報は大きな被害を心配させていて、そのため停電や物資が届きにくくなって困っている地域もありますが、避難する必要がある人たちは安全な場所へ避難しています。
